# Reciprocal collectivity of fluctuations=  120.2
# kappa=  0.077
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
  217  0.0007 0.859   0.3609   0.0107  0.291 0.345 0.215  0.078
  218  0.0006 0.859   0.3589   0.0107  0.271 0.328 0.256  0.052
  219  0.0006 0.860   0.3565   0.0107  0.203 0.249 0.176  0.065
  220  0.0006 0.861   0.3552   0.0107  0.310 0.372 0.261  0.073
  221  0.0006 0.861    0.355   0.0107  0.254 0.283 0.195  0.063
  222  0.0006 0.862   0.3528   0.0106  0.224 0.285 0.230  0.056
  223  0.0006 0.863   0.3514   0.0106  0.349 0.391 0.279  0.047
  224  0.0006 0.863   0.3497   0.0106  0.319 0.399 0.274  0.062
  225  0.0006 0.864   0.3478   0.0105  0.313 0.367 0.248  0.063
  226  0.0006 0.864    0.345   0.0105  0.302 0.341 0.192  0.061
  227  0.0006 0.865   0.3435   0.0105  0.322 0.383 0.242  0.057
  228  0.0006 0.866   0.3414   0.0104  0.304 0.370 0.185  0.060
  229  0.0006 0.866   0.3396   0.0104  0.214 0.263 0.169  0.061
  230  0.0006 0.867   0.3389   0.0104  0.323 0.372 0.208  0.051
  231  0.0006 0.868   0.3363   0.0104  0.312 0.392 0.227  0.048
  232  0.0006 0.868   0.3359   0.0104  0.268 0.300 0.208  0.049
  233  0.0006 0.869   0.3348   0.0103  0.222 0.263 0.149  0.072
  234  0.0006 0.869   0.3327   0.0103  0.266 0.337 0.211  0.055
  235  0.0006 0.870   0.3301   0.0103  0.259 0.326 0.126  0.064
  236  0.0006 0.871   0.3289   0.0103  0.218 0.305 0.086  0.105
  237  0.0006 0.871   0.3267   0.0102  0.320 0.376 0.189  0.054
  238  0.0006 0.872   0.3256   0.0102  0.233 0.278 0.105  0.104
  239  0.0006 0.872   0.3234   0.0102  0.287 0.355 0.177  0.063
  240  0.0006 0.873    0.322   0.0101  0.289 0.343 0.213  0.068
  241  0.0006 0.873   0.3208   0.0101  0.291 0.354 0.188  0.071
  242  0.0006 0.874   0.3197   0.0101  0.268 0.323 0.204  0.046
  243  0.0006 0.875   0.3177   0.0101  0.278 0.330 0.148  0.073
  244  0.0006 0.875   0.3173   0.0101  0.255 0.317 0.118  0.105
  245  0.0006 0.876   0.3161   0.0101  0.304 0.368 0.193  0.061
  246  0.0006 0.876   0.3126     0.01  0.169 0.210 0.066  0.106
  247  0.0006 0.877   0.3115  0.00998  0.319 0.381 0.212  0.059
  248  0.0006 0.877   0.3112  0.00998  0.282 0.311 0.176  0.088
  249  0.0006 0.878   0.3089  0.00994  0.310 0.392 0.255  0.054
  250  0.0006 0.879   0.3083  0.00993  0.329 0.379 0.241  0.040
  251  0.0006 0.879   0.3071  0.00991  0.309 0.377 0.191  0.055
  252  0.0005 0.880   0.3049  0.00987  0.183 0.233 0.107  0.080
  253  0.0005 0.880   0.3004   0.0098  0.161 0.224 0.089  0.105
  254  0.0005 0.881   0.2999  0.00979  0.220 0.261 0.134  0.062
  255  0.0005 0.881   0.2987  0.00977  0.253 0.306 0.185  0.060
  256  0.0005 0.882   0.2978  0.00976  0.285 0.331 0.177  0.067
  257  0.0005 0.882   0.2962  0.00973  0.311 0.379 0.179  0.048
  258  0.0005 0.883   0.2949  0.00971  0.306 0.374 0.198  0.057
  259  0.0005 0.883   0.2928  0.00968  0.182 0.223 0.175  0.063
  260  0.0005 0.884   0.2922  0.00967  0.299 0.360 0.228  0.051
  261  0.0005 0.884   0.2917  0.00966  0.333 0.387 0.262  0.036
  262  0.0005 0.885   0.2908  0.00964  0.306 0.357 0.218  0.053
  263  0.0005 0.885     0.29  0.00963  0.296 0.371 0.264  0.047
  264  0.0005 0.886   0.2882   0.0096  0.276 0.339 0.185  0.054
  265  0.0005 0.887   0.2873  0.00958  0.331 0.404 0.246  0.037
  266  0.0005 0.887   0.2862  0.00957  0.304 0.336 0.240  0.050
  267  0.0005 0.888   0.2828  0.00951  0.318 0.380 0.249  0.057
  268  0.0005 0.888   0.2817  0.00949  0.325 0.389 0.217  0.046
  269  0.0005 0.889   0.2809  0.00948  0.311 0.371 0.206  0.055
  270  0.0005 0.889   0.2795  0.00945  0.345 0.399 0.240  0.049
  271  0.0005 0.890   0.2785  0.00944  0.254 0.293 0.174  0.074
  272  0.0005 0.890   0.2763   0.0094  0.256 0.316 0.216  0.054
  273  0.0005 0.891   0.2744  0.00937  0.287 0.350 0.241  0.049
  274  0.0005 0.891   0.2731  0.00935  0.336 0.428 0.262  0.044
  275  0.0005 0.892   0.2726  0.00934  0.324 0.405 0.242  0.054
  276  0.0005 0.892   0.2717  0.00932  0.316 0.396 0.223  0.042
  277  0.0005 0.893   0.2713  0.00931  0.287 0.341 0.186  0.051
  278  0.0005 0.893   0.2709  0.00931  0.281 0.334 0.138  0.072
  279  0.0005 0.893   0.2685  0.00927  0.283 0.361 0.148  0.058
  280  0.0005 0.894   0.2682  0.00926  0.306 0.369 0.229  0.065
  281  0.0005 0.894   0.2672  0.00924  0.278 0.352 0.148  0.072
  282  0.0005 0.895   0.2661  0.00923  0.189 0.233 0.082  0.102
  283  0.0005 0.895   0.2647   0.0092  0.175 0.218 0.113  0.083
  284  0.0005 0.896    0.263  0.00917  0.289 0.368 0.187  0.060
  285  0.0005 0.896   0.2627  0.00917  0.287 0.358 0.199  0.066
  286  0.0005 0.897   0.2622  0.00916  0.233 0.273 0.161  0.075
  287  0.0005 0.897   0.2615  0.00914  0.296 0.389 0.186  0.080
  288  0.0005 0.898   0.2597  0.00911  0.267 0.305 0.189  0.060
  289  0.0005 0.898   0.2588   0.0091  0.258 0.323 0.132  0.091
  290  0.0005 0.899   0.2583  0.00909  0.265 0.314 0.179  0.071
  291  0.0005 0.899   0.2574  0.00907  0.277 0.377 0.208  0.056
  292  0.0005 0.900   0.2563  0.00905  0.214 0.278 0.182  0.070
  293  0.0005 0.900   0.2548  0.00903  0.214 0.279 0.144  0.072
  294  0.0005 0.901   0.2541  0.00901  0.209 0.250 0.101  0.095
  295  0.0005 0.901    0.252  0.00898  0.271 0.341 0.158  0.061
  296  0.0005 0.901   0.2511  0.00896  0.260 0.336 0.168  0.087
  297  0.0005 0.902   0.2503  0.00895  0.272 0.348 0.147  0.084
  298  0.0004 0.902    0.249  0.00892  0.226 0.264 0.164  0.085
  299  0.0004 0.903   0.2473  0.00889  0.257 0.317 0.174  0.075
  300  0.0004 0.903    0.247  0.00889  0.228 0.290 0.185  0.075
